MergeSort QuickSort TimSort OESM Cook_Kim LIS LIS_treap BothAlgo LIS_small BothAlgo_small 
1078 1078 1078 1078 1078 1078 1078 1078 1078 1078 
1102 1102 1102 1102 1102 1102 1102 1102 1102 1102 
1122 1122 1122 1122 1122 1122 1122 1122 1122 1122 
1134 1134 1134 1134 1134 1134 1134 1134 1134 1134 
1148 1148 1148 1148 1148 1148 1148 1148 1148 1148 
1165 1165 1165 1165 1165 1165 1165 1165 1165 1165 
1178 1178 1178 1178 1178 1178 1178 1178 1178 1178 
1194 1194 1194 1194 1194 1194 1194 1194 1194 1194 
1221 1221 1221 1221 1221 1221 1221 1221 1221 1221 
1231 1231 1231 1231 1231 1231 1231 1231 1231 1231 
1233 1233 1233 1233 1233 1233 1233 1233 1233 1233 
1262 1262 1262 1262 1262 1262 1262 1262 1262 1262 
1266 1266 1266 1266 1266 1266 1266 1266 1266 1266 
1283 1283 1283 1283 1283 1283 1283 1283 1283 1283 
1307 1307 1307 1307 1307 1307 1307 1307 1307 1307 
1309 1309 1309 1309 1309 1309 1309 1309 1309 1309 
1342 1342 1342 1342 1342 1342 1342 1342 1342 1342 
1349 1349 1349 1349 1349 1349 1349 1349 1349 1349 
1349 1349 1349 1349 1349 1349 1349 1349 1349 1349 
1359 1359 1359 1359 1359 1359 1359 1359 1359 1359 
1364 1364 1364 1364 1364 1364 1364 1364 1364 1364 
1365 1365 1365 1365 1365 1365 1365 1365 1365 1365 
1376 1376 1376 1376 1376 1376 1376 1376 1376 1376 
1381 1381 1381 1381 1381 1381 1381 1381 1381 1381 
1383 1383 1383 1383 1383 1383 1383 1383 1383 1383 
1375 1375 1375 1375 1375 1375 1375 1375 1375 1375 
1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 
1379 1379 1379 1379 1379 1379 1379 1379 1379 1379 
1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 
1397 1397 1397 1397 1397 1397 1397 1397 1397 1397 
1403 1403 1403 1403 1403 1403 1403 1403 1403 1403 
1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 
1416 1416 1416 1416 1416 1416 1416 1416 1416 1416 
1427 1427 1427 1427 1427 1427 1427 1427 1427 1427 
1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 
1435 1435 1435 1435 1435 1435 1435 1435 1435 1435 
1430 1430 1430 1430 1430 1430 1430 1430 1430 1430 
1429 1429 1429 1429 1429 1429 1429 1429 1429 1429 
1439 1439 1439 1439 1439 1439 1439 1439 1439 1439 
1442 1442 1442 1442 1442 1442 1442 1442 1442 1442 
1439 1439 1439 1439 1439 1439 1439 1439 1439 1439 
1443 1443 1443 1443 1443 1443 1443 1443 1443 1443 
1436 1436 1436 1436 1436 1436 1436 1436 1436 1436 
1435 1435 1435 1435 1435 1435 1435 1435 1435 1435 
1472 1472 1472 1472 1472 1472 1472 1472 1472 1472 
1469 1469 1469 1469 1469 1469 1469 1469 1469 1469 
1474 1474 1474 1474 1474 1474 1474 1474 1474 1474 
1488 1488 1488 1488 1488 1488 1488 1488 1488 1488 
1482 1482 1482 1482 1482 1482 1482 1482 1482 1482 
1483 1483 1483 1483 1483 1483 1483 1483 1483 1483 
1482 1482 1482 1482 1482 1482 1482 1482 1482 1482 
1485 1485 1485 1485 1485 1485 1485 1485 1485 1485 
1499 1499 1499 1499 1499 1499 1499 1499 1499 1499 
1523 1523 1523 1523 1523 1523 1523 1523 1523 1523 
1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 
1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 
1520 1520 1520 1520 1520 1520 1520 1520 1520 1520 
1515 1515 1515 1515 1515 1515 1515 1515 1515 1515 
1507 1507 1507 1507 1507 1507 1507 1507 1507 1507 
1517 1517 1517 1517 1517 1517 1517 1517 1517 1517 
1522 1522 1522 1522 1522 1522 1522 1522 1522 1522 

2137 2137 2137 2137 2137 2137 2137 2137 2137 2137 
2516 2516 2516 2516 2516 2516 2516 2516 2516 2516 
2792 2792 2792 2792 2792 2792 2792 2792 2792 2792 
2358 2358 2358 2358 2358 2358 2358 2358 2358 2358 
2615 2615 2615 2615 2615 2615 2615 2615 2615 2615 
2313 2313 2313 2313 2313 2313 2313 2313 2313 2313 
2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 
2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 
2358 2358 2358 2358 2358 2358 2358 2358 2358 2358 
2344 2344 2344 2344 2344 2344 2344 2344 2344 2344 
2284 2284 2284 2284 2284 2284 2284 2284 2284 2284 
2402 2402 2402 2402 2402 2402 2402 2402 2402 2402 
2425 2425 2425 2425 2425 2425 2425 2425 2425 2425 
2279 2279 2279 2279 2279 2279 2279 2279 2279 2279 
2468 2468 2468 2468 2468 2468 2468 2468 2468 2468 
2445 2445 2445 2445 2445 2445 2445 2445 2445 2445 
2409 2409 2409 2409 2409 2409 2409 2409 2409 2409 
2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 
2245 2245 2245 2245 2245 2245 2245 2245 2245 2245 
2313 2313 2313 2313 2313 2313 2313 2313 2313 2313 
2220 2220 2220 2220 2220 2220 2220 2220 2220 2220 
2233 2233 2233 2233 2233 2233 2233 2233 2233 2233 
2342 2342 2342 2342 2342 2342 2342 2342 2342 2342 
2282 2282 2282 2282 2282 2282 2282 2282 2282 2282 
2223 2223 2223 2223 2223 2223 2223 2223 2223 2223 
2253 2253 2253 2253 2253 2253 2253 2253 2253 2253 
2419 2419 2419 2419 2419 2419 2419 2419 2419 2419 
2414 2414 2414 2414 2414 2168 2168 2168 2168 2168 
2203 2203 2203 2203 2203 2203 2203 2203 2203 2203 
2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 
2579 2579 2579 2579 2579 2579 2579 2579 2579 2579 
2110 2110 2110 2110 2110 2110 2110 2110 2110 2110 
2220 2220 2220 2220 2220 2220 2220 2220 2220 2220 
2032 2032 2032 2032 2032 2032 2032 2032 2032 2032 
2060 2060 2060 2060 2060 2060 2060 2060 2060 2060 
2034 2034 2034 2034 2034 2034 2034 2034 2034 2034 
2176 2176 2176 2176 2176 2176 2176 2176 2176 2176 
2127 2127 2127 2127 2127 2127 2127 2127 2127 2127 
2329 2329 2329 2329 2329 2329 2329 2329 2329 2329 
2300 2300 2300 2300 2300 2300 2300 2300 2300 2300 
2400 2400 2400 2400 2400 2400 2400 2400 2400 2400 
2390 2390 2390 2390 2390 2390 2390 2390 2390 2390 
2498 2498 2498 2498 2498 2498 2498 2498 2498 2498 
2360 2360 2360 2360 2360 2360 2360 2360 2360 2360 
2362 2362 2362 2362 2362 2362 2362 2362 2362 2362 
2242 2242 2242 2242 2242 2242 2242 2242 2242 2242 
2018 2018 2018 2018 2018 2018 2018 2018 2018 2018 
2158 2158 2158 2158 2158 2158 2158 2158 2158 2158 
2123 2123 2123 2123 2123 2123 2123 2123 2123 2123 
2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 
2111 2111 2111 2111 2111 2111 2111 2111 2111 2111 
2123 2123 2123 2123 2123 2123 2123 2123 2123 2123 
2051 2051 2051 2051 2051 2051 2051 2051 2051 2051 
2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 
2027 2027 2027 2027 2027 2027 2027 2027 2027 2027 
2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 
2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 
2189 2189 2189 2189 2189 2189 2189 2189 2189 2189 
2210 2210 2210 2210 2210 2210 2210 2210 2210 2210 
2136 2136 2136 2136 2136 2136 2136 2136 2136 2136 
2088 2088 2088 2088 2088 2088 2088 2088 2088 2088 

894 894 894 894 894 894 894 894 894 894 
933 933 933 933 933 933 933 933 933 933 
964 964 964 964 964 964 964 964 964 964 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1044 1044 1044 1044 1044 1044 1044 1044 1044 1044 
1076 1076 1076 1076 1076 1076 1076 1076 1076 1076 
1116 1116 1116 1116 1116 1116 1116 1116 1116 1116 
1148 1148 1148 1148 1148 1148 1148 1148 1148 1148 
1189 1189 1189 1189 1189 1189 1189 1189 1189 1189 
1229 1229 1229 1229 1229 1229 1229 1229 1229 1229 
1284 1284 1284 1284 1284 1284 1284 1284 1284 1284 
1324 1324 1324 1324 1324 1324 1324 1324 1324 1324 
1349 1349 1349 1349 1349 1349 1349 1349 1349 1349 
1378 1378 1378 1378 1378 1378 1378 1378 1378 1378 
1415 1415 1415 1415 1415 1415 1415 1415 1415 1415 
1454 1454 1454 1454 1454 1454 1454 1454 1454 1454 
1507 1507 1507 1507 1507 1507 1507 1507 1507 1507 
1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 
1538 1538 1538 1538 1538 1538 1538 1538 1538 1538 
1561 1561 1561 1561 1561 1561 1561 1561 1561 1561 
1608 1608 1608 1608 1608 1608 1608 1608 1608 1608 
